deu-enh,eng,warning,Qid_detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiechlen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiechlin,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
knodel,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
knodelen,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
knodlein,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
knodlin,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
knodlen,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
knoeblach,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
knoedel,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
knoedlein,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
knoepflach,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
knoeppfflin,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
knoetlen,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
kass,cheese analogue,,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
keas,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
kephel,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
koephel,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraeppfell,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraeppfflein,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraephel,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraephen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraepphen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraepphlein,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krampfen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krapf,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krapfe,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krapffen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krapffenn,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krapfenn,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krappfleinn,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krappfel,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krappfen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krappfenn,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krappffen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krappfenn,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krappffenn,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krapfen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraphem,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krappen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraphen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krapphel,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krapphen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krepfelin,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kreppelin,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kreppflein,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kreppfflein,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krepphe,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krepphen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
krepphenn,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
kochenn,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kondiment,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuch,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuche,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuchel,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuchelin,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuchen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuchenn,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuchlenn,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuchlins,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuech,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuechel,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuechelen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuechen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuechenn,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuechelnn,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kueechen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuechelin,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuechlein,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuchlein,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuchlin,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuechin,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
küchlein,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuelchen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuelichen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuechlin,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuechlins,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kumpost,pickle,,Q1503784,,,,,,,,,,,,,,,,,,,,,,,,,,,
kunpost,pickle,,Q1503784,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuochen,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuochenn,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuochin,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
lactwaerg,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
lactwerg,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
ladhueryn,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
ladtwerin,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
ladwerggen,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
laetwarg,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
laetwerg,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasanigen,lasagna,,Q20034,,,,,,,,,,,,,,,,,,,,,,,,,,,
lasaenigen,lasagna,,Q20034,,,,,,,,,,,,,,,,,,,,,,,,,,,
laterge,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwaere,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwargen,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwary,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwerg,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwerge,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwergen,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwergenn,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
lattwerge,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
lattwergen,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
lattwergenn,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latczwerig,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwerig,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
lattwerig,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
lattwerin,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
lattwering,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwarig,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latweren,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
lat waerin,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwaerin,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwaerrin,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
latwery,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
lazanien,lasagna,,Q20034,,,,,,,,,,,,,,,,,,,,,,,,,,,
lazanigen,lasagna,,Q20034,,,,,,,,,,,,,,,,,,,,,,,,,,,
ledtwaring,electuary,,Q2737588,,,,,,,,,,,,,,,,,,,,,,,,,,,
letzelten,gingerbread,,Q178600,, ,,, , , , , , ,,, , ,,,,,,,,,,,, , 
iuessel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
juessel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
jusel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
jussel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
maendling,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
maezz,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcipan,marzipan,,Q106252,,,,,,,,,,,,,,,,,,,,,,,,,,,
marzepan,marzipan,,Q106252,,,,,,,,,,,,,,,,,,,,,,,,,,,
mauss,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
met,mead,,Q184442,,,,,,,,,,,,,,,,,,,,,,,,,,,
mete,mead,,Q184442,,,,,,,,,,,,,,,,,,,,,,,,,,,
mett,mead,,Q184442,,,,,,,,,,,,,,,,,,,,,,,,,,,
muelpraten,unsolved,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueesz,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mues,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muesel,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueselein,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueser,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muesern,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muesseren,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muessern,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueslin,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muees,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueesel,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueeser,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueesser,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueserr,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muess,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueess,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueß,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueesß,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muesz,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muesze,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueszlin,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muessel,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muesser,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muesslin,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muezs,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueszern,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muez,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mueez,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mulpraten,unsolved,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
muos,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muose,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muoss,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muosß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muoß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muosz,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
musel,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muss,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muszlein,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
musz,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muß,puree,warningPOS,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
muz,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
oblat,wafer,,Q1226651,,,,,,,,,,,,,,,,,,,,,,,,,,,
pach,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachas,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pacheins,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachem,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachen,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachen visch,fried fish,,Q798414,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachenn,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachenns,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachenes,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachens,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachens als ein schussel,pie pot,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
paches,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pachnes,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
pafessen,french toast,,Q197973,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagaczen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagatsch,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagatschen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagaetschen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
palmanschir,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
passteten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
passtetten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastede,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasteden,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastedenn,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastel,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pästel,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastellen,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pasteten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastetenn,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastetten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pedele,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
peferlein,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
peffer,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pefferr,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pefferlin,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfaeffer,pfeffer,warningKONTEXT,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfaefferlin,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfannczelten,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfanntzelten,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfantzelten,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfanzelt,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfeffer,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfefferlein,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfefferlin,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfefflein,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pffeffer,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pheffer,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
phefferl,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
phefferr,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
phasten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfhasten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
phaczeldten,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
phanczelltten,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
phaffer,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
phäffer,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
phanczel,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
phanczelten,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pheffar,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pheffär,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pheffaer,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
phefferel,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
phefferlin,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pheffers,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
phfeffer,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
phefferlin,pfeffer,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pikt,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
plab manttschett,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plabmantscher,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plabmatschir,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
placz,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamaentschen,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamanscher,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamanschear,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamanschir,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamantschier,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamantschir,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamantschyr,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamencher,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamenschir,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamentschir,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plament schir,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plametschir,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plamischir,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plaemaenscher,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
plat,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
platt,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
platt vonn airen,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
plat von ayeren,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
plat von ayren,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pleter,pancake,warningKONTEXT,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pletern,pancake,warningKONTEXT,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pletter,pancake,warningKONTEXT,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pletteren,pancake,warningKONTEXT,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pletternn,pancake,warningKONTEXT,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
pletternn,pancake,warningKONTEXT,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
posseten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
posten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
posteten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
postetten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
poting kraut,sauerkraut,,Q154166,,,,,,,,,,,,,,,,,,,,,,,,,,,
pottigen krawtt,sauerkraut,,Q154166,,,,,,,,,,,,,,,,,,,,,,,,,,,
pradem,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
prancz,pan fried,,Q17073916,,,,,,,,,,,,,,,,,,,,,,,,,,,
pranten,pan fried,,Q17073916,,,,,,,,,,,,,,,,,,,,,,,,,,,
praten,roast,warningPOS,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
pratenn,roast,warningPOS,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
prauten,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
pretzen,pretzel,,Q160525,,,,,,,,,,,,,,,,,,,,,,,,,,,
protenn,roast,warningPOS,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
prattas,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
pratten,roast,warningPOS,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
prattenn,roast,warningPOS,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawtt essen,wedding dish,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
prein,Žganci,,Q264558,,,,,,,,,,,,,,,,,,,,,,,,,,,
preyn,Žganci,,Q264558,,,,,,,,,,,,,,,,,,,,,,,,,,,
preynn,Žganci,,Q264558,,,,,,,,,,,,,,,,,,,,,,,,,,,
presss,aspic,,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
pressen,aspic,,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
prodel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
prodlerm,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
prolin,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
proten,roast,warningPOS,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
protten,roast,warningPOS,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
prottenn,roast,warningPOS,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
prott wurst,bratwurst,,Q899882,,,,,,,,,,,,,,,,,,,,,,,,,,,
pruele,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
prulein,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
prwee,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
putter,butter analogue,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rechpraten,roe-deer roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rechpratten,roe-deer roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rechprattenn,roe-deer roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rech praten In der vasten,fish roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rechtpratten,roe-deer roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rugkpratten,roast saddle,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rugk praten,roast saddle,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rukchpratten,roast saddle,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
reindel,unsolved,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
reindl,unsolved,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryßmuoß,rice pudding,,Q19029,,,,,,,,,,,,,,,,,,,,,,,,,,,
saelcz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
saelczen,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
saeltz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
saeltzen,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
safft,fruit juice,,Q20932605,,,,,,,,,,,,,,,,,,,,,,,,,,,
salce,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
salcze,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
salczenn,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
